Stage,Length
F,22.3
F,23.3
M,42.3
M,32.4
F,22
M,33.3
M,44.5
M,34.5
M,30.7
M,39.8
M,36
M,41.7
M,36.8
M,38.1
M,44.4
M,31.9
M,36.8
M,37.1
M,41.3
M,41.5
M,58
M,27.7
F,24.3
M,38.7
M,46.1
M,39.8
M,57.7
M,20.5
M,44.6
M,50.3
M,43
M,47.3
M,56.4
F,20.7
F,25
M,42.6
M,43.7
M,38.3
M,28.6
M,39.3
M,46.8
M,39.3
M,58.3
M,27.7
F,29.7
M,37.7
M,40.9
M,46.6
M,31.4
M,35.3
M,39.4
M,44.6
M,38.2
M,40.5
M,45.1
M,22.6
M,38.7
F,24.9
M,39.5
M,27.2
M,37.7
M,38.8
M,41.5
M,41.1
M,30.1
M,31.7
F,17.6
M,31.2
M,34.1
M,47.2
F,25.2
M,36.7
F,30.9
F,24.9
M,40.4
F,33.3
F,26.5
F,17.1
F,23.8
F,23
F,24.6
F,37.2
F,31.2
F,16.2
F,33.2
F,21
F,32.5
F,32.2
F,26.1
F,28.1
F,27.4
F,19.7
F,19.2
F,18.3
M,28
F,26.8
F,21.1
M,33.8
M,32.2
M,36
F,20.6
F,20.8
F,26.2
F,25.6
M,35.6
F,35.7
F,11.4
F,23
F,24.6
M,39.4
F,18.1
F,27.3
F,15.5
F,21.7
F,24.1
F,20.2
F,11.4
F,16.2
F,21.8
F,19.3
M,35.6
F,26.7
F,20.7
M,32.3
M,40.1
M,29.9
M,34.1
M,38.1
M,24
F,22.5
F,18.6
F,31
M,36.9
M,42.9
F,26.6
F,18.3
F,28.5
M,41.9
M,33.5
F,29.7
F,24.1
M,25.7
F,24.6
M,40.5
F,24.6
M,25.6
M,35.7
M,42.5
F,30.3
M,48.2
M,30.5
M,38.3
F,26.7
F,15.1
F,15.3
F,21.5
F,34.2
F,22.5
M,44.4
F,19.5
F,13.6
M,27.4
F,23.1
F,14.7
M,45.7
M,39.1
M,42.1
M,39
F,26.5
M,40.1
F,28.5
F,16.6
F,15.3
F,29.5
F,21
M,37.9
F,32
F,19.9
F,22.6
F,33.8
F,28.3
F,19.6
F,24.1
F,25.3
F,24.6
M,38.7
F,26.5
F,26.3
F,23.4
F,26.2
F,23.3
F,21.2
F,25.5
M,35.4
M,44.3
F,28.4
F,26.9
F,20.2
M,40.6
F,17.2
F,25.5
F,20.7
F,27.4
M,55.8
F,42.1
F,25.4
M,32.8
F,26.3
F,24.6
M,39.9
F,23
F,24
F,25
M,37.6
M,48
M,42.3
F,19.1
F,21.8
M,45.4
M,39.1
M,44.4
F,22.6
F,26.7
F,21.1
F,22.6
M,28.2
M,45.1
M,41.6
M,37.2
M,39.9
M,36
M,50.9
M,48.9
M,35.4
M,40.7
M,46.1
M,45.5
M,57.9
M,35.1
M,40
M,43.5
M,45.3
M,37.2
M,45
M,40.7
M,31.7
M,38.5
M,33.6
M,38.4
F,29.8
M,46.6
F,35.7
F,24.6
F,19.8
M,42.3
M,41.3
F,25.3
M,43.5
F,24.4
F,20.1
F,24.6
F,23.9
F,24
M,39.5
M,30.9
M,41.1
M,31.3
F,22.4
M,48.9
M,45.2
F,20.6
M,56
M,42
M,48.9
M,53.5
M,38.9
M,43
F,22.4
M,43.9
F,21.1
M,38.1
M,44
M,44.3
M,47.9
M,40.2
M,38.9
F,22.6
M,44.2
M,41.5
M,40.5
F,21.3
F,26.2
F,45.5
F,24.9
F,23.7
M,44
F,20.5
F,19.1
F,29.8
M,42.1
F,26.3
M,41
M,43.7
F,26.8
M,46.6
F,26.7
M,32.2
